@relation wind_data-weka.filters.unsupervised.attribute.Remove-R1

@attribute WIND {'Gentle Breeze','Light Breeze','Light Air','Moderate Breeze',Calm}
@attribute IND numeric
@attribute RAIN {Slight,Moderate,Heavy}
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric

@data
'Light Air',-0.333699,Slight,-0.310259,0.240577,-0.389995,0.671286,1.091008
'Light Air',-0.333699,Slight,-0.310259,0.26197,-0.389995,0.897424,1.329214
'Light Breeze',-0.333699,Slight,-0.310259,-0.144503,-0.389995,0.377307,1.036038
'Light Breeze',-0.333699,Slight,-0.310259,-0.593764,-0.389995,-0.414176,-0.100021
'Light Air',-0.333699,Slight,-0.310259,-0.18729,-0.389995,-0.730769,-0.723021
'Light Breeze',-0.333699,Slight,-0.310259,0.13361,-0.389995,-1.228272,-1.016198
'Gentle Breeze',-0.333699,Slight,-0.310259,-0.016143,-0.389995,0.626058,0.871126
'Light Breeze',-0.333699,Slight,-0.310259,0.176397,-0.389995,0.806969,0.981067
'Light Breeze',-0.333699,Slight,-0.310259,0.775411,-0.389995,0.309465,0.101538
'Light Breeze',-0.333699,Slight,-0.310259,0.775411,-0.389995,-0.323721,0.083214
'Light Breeze',-0.333699,Slight,-0.310259,0.946558,-0.389995,0.920038,1.347538
'Light Breeze',-0.333699,Slight,-0.310259,1.139098,-0.389995,1.191403,1.475803
'Light Breeze',-0.333699,Slight,-0.310259,1.588359,-0.389995,1.100948,1.420832
'Light Air',-0.333699,Slight,1.488654,0.775411,-0.389995,1.417541,1.640714
'Light Air',-0.333699,Slight,-0.310259,0.711231,-0.389995,1.146175,1.439156
'Light Breeze',-0.333699,Slight,-0.310259,0.925165,-0.389995,0.535603,0.706214
'Light Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,0.264238,0.614597
'Light Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,-0.074969,0.303096
'Light Breeze',-0.333699,Slight,-0.310259,0.497297,-0.389995,0.897424,1.25592
'Light Breeze',-0.333699,Slight,-0.310259,0.689838,-0.389995,0.580831,1.036038
'Light Breeze',-0.333699,Slight,-0.310259,0.048037,-0.389995,0.920038,1.145979
'Light Air',-0.333699,Slight,-0.310259,0.989345,-0.389995,-0.052355,0.083214
'Light Breeze',-0.333699,Slight,-0.310259,1.160491,-0.389995,-0.007128,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,1.160491,-0.389995,1.507996,1.402509
'Light Breeze',-0.333699,Slight,-0.310259,1.331638,-0.389995,0.286851,0.358067
'Gentle Breeze',-0.333699,Slight,-0.310259,1.417212,-0.389995,1.937658,2.13545
'Gentle Breeze',-0.333699,Slight,-0.310259,0.903771,-0.389995,0.6939,0.816155
'Light Breeze',-0.333699,Slight,-0.310259,0.839591,-0.389995,0.512989,0.669567
'Light Breeze',-0.333699,Slight,-0.310259,0.689838,-0.389995,0.512989,1.091008
'Light Breeze',-0.333699,Slight,-0.310259,1.288852,-0.389995,0.173783,-0.118345
'Gentle Breeze',-0.333699,Slight,-0.310259,1.096311,-0.389995,1.168789,1.604067
'Gentle Breeze',-0.333699,Slight,-0.310259,1.930652,-0.389995,1.168789,1.219273
'Gentle Breeze',-0.333699,Slight,-0.310259,2.059013,-0.389995,1.146175,0.724538
'Gentle Breeze',-0.333699,Slight,-0.310259,1.759506,-0.389995,1.281858,1.585744
'Light Breeze',-0.333699,Slight,-0.310259,0.390331,-0.389995,1.168789,1.604067
'Light Breeze',-0.333699,Slight,-0.310259,0.711231,-0.389995,-0.074969,0.138185
'Light Breeze',-0.333699,Slight,-0.310259,1.310245,-0.389995,0.377307,-0.063374
'Light Breeze',-0.333699,Slight,-0.310259,1.887866,-0.389995,1.05572,1.054361
'Light Air',-0.333699,Slight,-0.310259,2.144586,-0.389995,1.168789,1.145979
'Light Breeze',-0.333699,Slight,-0.310259,1.288852,-0.389995,2.050727,2.13545
'Light Breeze',-0.333699,Slight,-0.310259,1.438605,-0.389995,1.281858,1.604067
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,0.6939,0.816155
'Gentle Breeze',-0.333699,Slight,-0.310259,1.032131,-0.389995,0.942651,1.292567
'Light Breeze',-0.333699,Slight,-0.310259,1.417212,-0.389995,0.151169,0.32142
'Light Breeze',-0.333699,Slight,-0.310259,1.459999,-0.389995,0.354693,0.303096
'Gentle Breeze',-0.333699,Slight,-0.310259,1.673932,-0.389995,1.621065,1.732332
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.801975,2.007185
'Light Breeze',-0.333699,Slight,-0.310259,1.074918,-0.389995,1.327086,1.549097
'Light Air',-0.333699,Slight,-0.310259,0.839591,-0.389995,1.304472,1.640714
'Light Breeze',-0.333699,Slight,-0.310259,0.860984,-0.389995,1.440155,1.842273
'Light Breeze',-0.333699,Slight,-0.310259,1.203278,-0.389995,1.553224,1.347538
'Gentle Breeze',-0.333699,Moderate,-0.310259,0.090823,-0.389995,0.580831,1.036038
'Gentle Breeze',-0.333699,Slight,-0.310259,0.860984,-0.389995,0.422534,1.072685
'Light Breeze',-0.333699,Slight,-0.310259,1.160491,-0.389995,0.264238,0.559626
'Gentle Breeze',-0.333699,Slight,-0.310259,0.475904,-0.389995,1.033107,1.347538
'Light Breeze',-0.333699,Slight,-0.310259,1.353032,-0.389995,0.920038,1.109332
'Light Air',-0.333699,Slight,-0.310259,1.267458,-0.389995,0.920038,0.742861
'Light Air',-0.333699,Slight,-0.310259,1.139098,-0.389995,0.264238,0.119861
'Light Air',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.281858,1.549097
'Light Air',-0.333699,Slight,-0.310259,0.561477,-0.389995,1.191403,0.907773
'Light Air',-0.333699,Slight,-0.310259,0.796804,-0.389995,0.377307,1.109332
'Light Air',-0.333699,Slight,-0.310259,0.839591,-0.389995,0.806969,0.907773
'Light Air',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.05572,1.072685
'Gentle Breeze',-0.333699,Slight,-0.310259,1.545572,-0.389995,1.168789,1.182626
'Gentle Breeze',-0.333699,Slight,-0.310259,0.882378,-0.389995,1.417541,1.56742
'Light Breeze',-0.333699,Slight,-0.310259,0.711231,-0.389995,0.852196,1.549097
'Light Breeze',-0.333699,Slight,-0.310259,0.946558,-0.389995,0.286851,0.504655
'Light Breeze',-0.333699,Slight,-0.310259,1.032131,-0.389995,1.078334,1.420832
